id	weight
เลี้ยงลูก	563
เลี้ยง	312
คนเดียว	167
เป็นหลัก	18
เหนื่อย	142
ชีวิต	146
โรงพยาบาล	9
เด็ก	214
คลอด	91
ก่อนกำหนด	5
ป่วย	34
ท้อ	19
สู้	22
มั่นใจ	14
ได้ดี	20
ตัวเรา	34
นอน	137
ชอบ	174
หมอ	54
ลาออก	60
ลูก	1554
โวยวาย	11
ฟัง	92
พ่อแม่	153
เวลา	340
ไม่พอใจ	12
พูดจา	9
แย่	16
ร้อง	56
ไม่มี	343
ตัวตน	6
อารมณ์ดี	5
อยากได้	36
น่ารัก	22
กลุ้มใจ	11
แก้	24
ดี	462
ชม	35
งานประจำ	57
เป็นงาน	24
ไม่เห็น	20
พัฒนาการ	28
รู้จัก	43
ไม่ต้อง	115
ความสุข	17
เงิน	293
แลก	14
ทิ้ง	63
อาชีพ	46
สนุก	25
อิสระ	14
สอน	51
ปรับปรุง	9
ดีใจ	32
แม่	711
มีความสุข	84
แชร์	45
รู้สึก	384
ดีมาก	41
คนโต	54
ผู้หญิง	101
เติบโต	6
โชคดี	14
ฉลาด	5
คนดี	8
เห็นด้วย	21
หัวใจ	7
ตั้งใจ	29
มีลูก	226
ด้วยตัวเอง	13
ฝาก	55
ลา	162
ออกมา	165
เสียดาย	15
รู้เรื่อง	19
มีปัญหา	61
เรียน	90
คุ้มค่า	8
ขอบคุณ	85
ตัดสินใจ	79
คอย	66
ดูแล	111
fulltime	11
ตา	28
อ่าน	84
กลับไปทำงาน	73
เงินเดือน	94
ตัด	25
อิ่ม	10
อ่านหนังสือ	11
เล่านิทาน	5
ทักษะ	5
เกณฑ์	8
ร่าเริง	9
อารมณ์	42
ของเล่น	20
เก็บเงิน	13
เก่ง	33
ไม่รู้	152
ขี้เกียจ	21
ไม่มีค่า	7
เปรียบเทียบ	6
สารพัด	16
ไม่เห็นด้วย	7
ออกจากงาน	163
ไม่มีใคร	66
กำลังใจ	24
มือ	29
